time,day,value
0,0,6
0,1,6
0,2,5
0,3,14
0,4,18
0,5,12
0,6,13
1,0,18
1,1,8
1,2,8
1,3,42
1,4,16
1,5,21
1,6,17
10,0,20
10,1,11
10,2,17
10,3,48
10,4,95
10,5,56
10,6,38
11,0,24
11,1,34
11,2,30
11,3,46
11,4,55
11,5,113
11,6,43
12,0,8
12,1,10
12,2,44
12,3,47
12,4,42
12,5,51
12,6,35
13,0,6
13,1,29
13,2,34
13,3,47
13,4,134
13,5,173
13,6,28
14,0,7
14,1,28
14,2,411
14,3,134
14,4,214
14,5,127
14,6,31
15,0,13
15,1,28
15,2,143
15,3,218
15,4,139
15,5,151
15,6,34
16,0,16
16,1,9
16,2,413
16,3,175
16,4,89
16,5,68
16,6,61
17,0,58
17,1,7
17,2,35
17,3,82
17,4,223
17,5,53
17,6,34
18,0,27
18,1,10
18,2,56
18,3,322
18,4,85
18,5,53
18,6,27
19,0,24
19,1,9
19,2,33
19,3,283
19,4,90
19,5,97
19,6,15
2,0,9
2,1,17
2,2,16
2,3,20
2,4,29
2,5,35
2,6,16
20,0,11
20,1,7
20,2,23
20,3,292
20,4,114
20,5,18
20,6,13
21,0,5
21,1,5
21,2,12
21,3,31
21,4,73
21,5,11
21,6,17
22,0,11
22,1,5
22,2,11
22,3,9
22,4,76
22,5,10
22,6,7
23,0,12
23,1,3
23,2,17
23,3,16
23,4,26
23,5,14
23,6,12
3,0,5
3,1,21
3,2,11
3,3,12
3,4,16
3,5,17
3,6,12
4,0,9
4,1,18
4,2,12
4,3,13
4,4,7
4,5,16
4,6,15
5,0,32
5,1,29
5,2,9
5,3,34
5,4,35
5,5,86
5,6,45
6,0,12
6,1,9
6,2,2
6,3,19
6,4,18
6,5,36
6,6,19
7,0,9
7,1,15
7,2,10
7,3,43
7,4,44
7,5,47
7,6,33
8,0,24
8,1,14
8,2,19
8,3,32
8,4,53
8,5,37
8,6,25
9,0,326
9,1,14
9,2,31
9,3,60
9,4,57
9,5,71
9,6,46
