"_time",type,color,value,count,pct05,pct25,pct50,pct75,pct95
"2015-07-17T00:00:00.000-0700",Release,yellow,2,,,,,,
"2015-07-21T00:00:00.000-0700",Release,yellow,4,,,,,,
"2015-07-22T00:00:00.000-0700",Release,yellow,1,,,,,,
"2015-07-23T00:00:00.000-0700",Release,yellow,2,,,,,,
"2015-07-24T00:00:00.000-0700",Release,yellow,3,,,,,,
"2015-07-27T00:00:00.000-0700",Release,yellow,2,,,,,,
"2015-07-29T00:00:00.000-0700",Release,yellow,2,,,,,,
"2015-07-30T00:00:00.000-0700",Release,yellow,3,,,,,,
"2015-07-31T00:00:00.000-0700",Release,yellow,4,,,,,,
"2015-08-03T00:00:00.000-0700",Release,yellow,2,,,,,,
"2015-08-04T00:00:00.000-0700",Release,yellow,3,,,,,,
"2015-08-06T00:00:00.000-0700",Release,yellow,4,,,,,,
"2015-08-07T00:00:00.000-0700",Release,yellow,4,,,,,,
"2015-08-10T00:00:00.000-0700",Release,yellow,9,,,,,,
"2015-08-11T00:00:00.000-0700",Release,yellow,5,,,,,,
"2015-08-12T00:00:00.000-0700",Release,yellow,3,,,,,,
"2015-08-13T00:00:00.000-0700",Release,yellow,12,,,,,,
"2015-08-14T00:00:00.000-0700",Release,yellow,6,,,,,,
"2015-08-17T00:00:00.000-0700",Release,yellow,11,,,,,,
"2015-08-18T00:00:00.000-0700",Release,yellow,3,,,,,,
"2015-08-20T00:00:00.000-0700",Release,yellow,6,,,,,,
"2015-08-21T00:00:00.000-0700",Release,yellow,3,,,,,,
"2015-08-22T00:00:00.000-0700",Release,yellow,1,,,,,,
"2015-08-24T00:00:00.000-0700",Release,yellow,5,,,,,,
"2015-06-26T00:00:00.000-0700",,,,,87000,302000,548000,770000,953000
"2015-06-27T00:00:00.000-0700",,,,,105000,332000,521400,720000,958000
"2015-06-28T00:00:00.000-0700",,,,,90000,270000,510000,767000,953000
"2015-06-29T00:00:00.000-0700",,,,,89000,260000,474000,740000,930000
"2015-06-30T00:00:00.000-0700",,,,,94000,298000,527000,746000,960000
"2015-07-01T00:00:00.000-0700",,,,,87000,293000,542000,766000,946000
"2015-07-02T00:00:00.000-0700",,,,,100000,310000,540000,763000,949000
"2015-07-06T00:00:00.000-0700",,,,,110000,320000,538000,790000,960000
"2015-07-07T00:00:00.000-0700",,,,,80000,280000,528000,776000,954000
"2015-07-08T00:00:00.000-0700",,,,,87000,266000,510000,790000,946000
"2015-07-09T00:00:00.000-0700",,,,,95000,297000,540000,777000,972000
"2015-07-10T00:00:00.000-0700",,,,,82000,260000,532000,784000,946000
"2015-07-14T00:00:00.000-0700",,,,,95000,294000,520000,760000,960000
"2015-07-15T00:00:00.000-0700",,,,,99000,279000,500000,738000,950000
"2015-07-16T00:00:00.000-0700",,,,,98000,270000,519000,749000,950000
"2015-07-17T00:00:00.000-0700",,,,,90000,271000,510000,744000,950000
"2015-07-20T00:00:00.000-0700",,,,,100000,297000,530000,770000,950000
"2015-07-21T00:00:00.000-0700",,,,,111000,288000,539000,750000,947000
"2015-07-23T00:00:00.000-0700",,,,,98000,290000,524000,760000,950000
"2015-07-24T00:00:00.000-0700",,,,,80000,295000,520000,758000,950000
"2015-07-25T00:00:00.000-0700",,,,,99000,280000,507000,745000,955000
"2015-07-26T00:00:00.000-0700",,,,,90000,304000,520000,760000,954000
"2015-07-27T00:00:00.000-0700",,,,,101000,280000,515000,770000,954000
"2015-07-29T00:00:00.000-0700",,,,,107000,311000,541000,774000,960000
"2015-07-30T00:00:00.000-0700",,,,,93000,286000,520000,758000,950000
"2015-07-31T00:00:00.000-0700",,,,,90000,279000,520000,760000,940000
"2015-08-03T00:00:00.000-0700",,,,,90000,290000,530000,770000,950000
"2015-08-05T00:00:00.000-0700",,,,,266659,324765,496726,554013,671913
"2015-08-06T00:00:00.000-0700",,,,,92000,260000,485000,740000,950000
"2015-08-10T00:00:00.000-0700",,,,,100000,310000,527000,760000,957000
"2015-08-11T00:00:00.000-0700",,,,,80000,295000,536000,770000,943000
"2015-08-12T00:00:00.000-0700",,,,,98000,295000,541000,740000,950000
"2015-08-13T00:00:00.000-0700",,,,,94000,282000,500000,760000,940000
"2015-08-14T00:00:00.000-0700",,,,,94000,279000,522000,750000,953000
"2015-08-17T00:00:00.000-0700",,,,,86000,262000,531000,757000,947000
"2015-08-18T00:00:00.000-0700",,,,,98000,276000,499000,777000,961000
"2015-08-19T00:00:00.000-0700",,,,,90000,290000,531000,768000,950000
"2015-08-20T00:00:00.000-0700",,,,,90000,290000,530000,760000,956000
"2015-08-21T00:00:00.000-0700",,,,,93000,270000,563000,791000,960000
"2015-08-24T00:00:00.000-0700",,,,,97000,284000,510000,760000,946000
"2015-08-25T00:00:00.000-0700",,,,,90000,260000,510000,740000,950000
